Emission,time,comp,Type,intensity1,position,d1_time,Totalbio,Leaf3,Channel_number
0.0265827,0,CYP92C5,b,12,Leaf3,1,1,1,1
0.016887266,0,IGL,b,12,Leaf3,1,1,1,1
0.198401698,0,TPS2,b,12,Leaf3,1,1,1,1
0.0719255,0.5,CYP92C5,b,12,Leaf3,1,1,1,1
0.068001743,0.5,IGL,b,12,Leaf3,1,1,1,1
0.495328599,0.5,TPS2,b,12,Leaf3,1,1,1,1
0.0809125,1,CYP92C5,b,12,Leaf3,1,1,1,1
0.029949959,1,IGL,b,12,Leaf3,1,1,1,1
0.960941254,1,TPS2,b,12,Leaf3,1,1,1,1
0.0555911,1.5,CYP92C5,b,12,Leaf3,1,1,1,1
0.007817346,1.5,IGL,b,12,Leaf3,1,1,1,1
1.085536475,1.5,TPS2,b,12,Leaf3,1,1,1,1
0.0556605,2,CYP92C5,b,12,Leaf3,1,1,1,1
0.020521772,2,IGL,b,12,Leaf3,1,1,1,1
1.714661249,2,TPS2,b,12,Leaf3,1,1,1,1
0.0280427,3,CYP92C5,b,12,Leaf3,1,1,1,1
0.005908657,3,IGL,b,12,Leaf3,1,1,1,1
0.852659962,3,TPS2,b,12,Leaf3,1,1,1,1
0.0062627,5,CYP92C5,b,12,Leaf3,1,1,1,1
0.002129507,5,IGL,b,12,Leaf3,1,1,1,1
0.451213153,5,TPS2,b,12,Leaf3,1,1,1,1
0.0114453,0,CYP92C5,b,12,Leaf3,1,1,1,2
0.008070486,0,IGL,b,12,Leaf3,1,1,1,2
0.036263466,0,TPS2,b,12,Leaf3,1,1,1,2
0.000585071,0,TPS10,b,12,Leaf3,1,1,1,2
0.0833332,0.5,CYP92C5,b,12,Leaf3,1,1,1,2
0.05316964,0.5,IGL,b,12,Leaf3,1,1,1,2
0.699335416,0.5,TPS2,b,12,Leaf3,1,1,1,2
0.408407246,0.5,TPS10,b,12,Leaf3,1,1,1,2
0.0528692,1,CYP92C5,b,12,Leaf3,1,1,1,2
0.021127649,1,IGL,b,12,Leaf3,1,1,1,2
1.088568888,1,TPS2,b,12,Leaf3,1,1,1,2
1.253499146,1,TPS10,b,12,Leaf3,1,1,1,2
0.058329,1.5,CYP92C5,b,12,Leaf3,1,1,1,2
0.023430349,1.5,IGL,b,12,Leaf3,1,1,1,2
2.546760565,1.5,TPS2,b,12,Leaf3,1,1,1,2
2.845256045,1.5,TPS10,b,12,Leaf3,1,1,1,2
0.0162789,2,CYP92C5,b,12,Leaf3,1,1,1,2
