,Emission,Channel_number,comp,time,Type,intensity1,d1_time,Totalbio,Leaf3,gt
1,0.907939,12,DMNT,-0.5,a,0,NA,1.32,0.32,CML287
2,0.122277,12,DMNT,0,a,0,NA,1.32,0.32,CML287
3,0.705139,12,DMNT,0.5,a,0,NA,1.32,0.32,CML287
4,0.0189806,12,DMNT,1,a,0,NA,1.32,0.32,CML287
5,1e-08,12,DMNT,1.5,a,0,NA,1.32,0.32,CML287
6,0.556343,12,DMNT,2,a,0,NA,1.32,0.32,CML287
7,0.307308,12,DMNT,2.5,a,0,NA,1.32,0.32,CML287
8,0.473122,12,DMNT,3,a,0,NA,1.32,0.32,CML287
9,0.944763,12,DMNT,3.5,a,0,NA,1.32,0.32,CML287
10,0.872576,12,DMNT,4,a,0,NA,1.32,0.32,CML287
11,1e-08,12,DMNT,4.5,a,0,NA,1.32,0.32,CML287
12,1e-08,12,DMNT,5,a,0,NA,1.32,0.32,CML287
13,0.641105,12,DMNT,5.5,a,0,NA,1.32,0.32,CML287
14,0.751343,12,DMNT,6,a,0,NA,1.32,0.32,CML287
15,1e-08,12,DMNT,6.5,a,0,NA,1.32,0.32,CML287
16,1e-08,12,DMNT,7,a,0,NA,1.32,0.32,CML287
17,0.116313,12,DMNT,7.5,a,0,NA,1.32,0.32,CML287
18,0.595272,12,DMNT,8,a,0,NA,1.32,0.32,CML287
19,0.945523,12,DMNT,8.5,a,0,NA,1.32,0.32,CML287
20,0.199781,12,DMNT,9,a,0,NA,1.32,0.32,CML287
21,1e-08,12,DMNT,9.5,a,0,NA,1.32,0.32,CML287
22,0.487077,12,DMNT,10,a,0,NA,1.32,0.32,CML287
23,1e-08,12,DMNT,10.5,a,0,NA,1.32,0.32,CML287
24,1e-08,12,DMNT,11,a,0,NA,1.32,0.32,CML287
25,0.229051,12,DMNT,11.5,a,0,NA,1.32,0.32,CML287
26,1.18316,12,DMNT,12,a,0,NA,1.32,0.32,CML287
27,0.631081,12,DMNT,12.5,a,0,NA,1.32,0.32,CML287
28,1e-08,12,DMNT,13,a,0,NA,1.32,0.32,CML287
29,0.631963,12,DMNT,13.5,a,0,NA,1.32,0.32,CML287
30,0.650742,12,DMNT,14,a,0,NA,1.32,0.32,CML287
31,0.11866,12,DMNT,14.5,a,0,NA,1.32,0.32,CML287
32,0.612642,12,DMNT,15,a,0,NA,1.32,0.32,CML287
33,0.761493,12,DMNT,15.5,a,0,NA,1.32,0.32,CML287
34,0.839642,12,DMNT,16,a,0,NA,1.32,0.32,CML287
35,0.322461,12,DMNT,16.5,a,0,NA,1.32,0.32,CML287
36,0.574918,12,DMNT,17,a,0,NA,1.32,0.32,CML287
37,0.581908,12,DMNT,17.5,a,0,NA,1.32,0.32,CML287
38,0.64159,12,DMNT,18,a,0,NA,1.32,0.32,CML287
39,0.551822,12,DMNT,18.5,a,0,NA,1.32,0.32,CML287
40,0.972418,12,DMNT,19,a,0,NA,1.32,0.32,CML287
41,0.497426,12,DMNT,19.5,a,0,NA,1.32,0.32,CML287
42,0.0249017,12,DMNT,20,a,0,NA,1.32,0.32,CML287
43,0.64893,12,DMNT,20.5,a,0,NA,1.32,0.32,CML287
44,0.320309,12,DMNT,21,a,0,NA,1.32,0.32,CML287
45,0.753186,12,DMNT,21.5,a,0,NA,1.32,0.32,CML287
451,1e-08,29,DMNT,-0.5,CML287,6,11.5,1.39,0.35,CML287
452,0.87161,29,DMNT,0,CML287,6,11.5,1.39,0.35,CML287
453,1.44584,29,DMNT,0.5,CML287,6,11.5,1.39,0.35,CML287
454,0.961481,29,DMNT,1,CML287,6,11.5,1.39,0.35,CML287
455,5.76224,29,DMNT,1.5,CML287,6,11.5,1.39,0.35,CML287
456,22.0885,29,DMNT,2,CML287,6,11.5,1.39,0.35,CML287
457,33.1123,29,DMNT,2.5,CML287,6,11.5,1.39,0.35,CML287
458,40.0258,29,DMNT,3,CML287,6,11.5,1.39,0.35,CML287
459,36.7397,29,DMNT,3.5,CML287,6,11.5,1.39,0.35,CML287
