,Emission,Channel_number,comp,time,Type,intensity1,position,d1_time,Totalbio,Leaf3
1,1.02561,12,HAC,-12,b,6,Leaf3,10.5,3.421,NA
2,1.96782,12,HAC,-10,b,6,Leaf3,10.5,3.421,NA
3,0.769265,12,HAC,-8,b,6,Leaf3,10.5,3.421,NA
4,1.5687,12,HAC,-6,b,6,Leaf3,10.5,3.421,NA
5,0.0753334,12,HAC,-4,b,6,Leaf3,10.5,3.421,NA
6,2.07235,12,HAC,-2,b,6,Leaf3,10.5,3.421,NA
7,1.4979,12,HAC,0,b,6,Leaf3,10.5,3.421,NA
8,7.67724,12,HAC,2,b,6,Leaf3,10.5,3.421,NA
9,41.2821,12,HAC,4,b,6,Leaf3,10.5,3.421,NA
10,79.2229,12,HAC,6,b,6,Leaf3,10.5,3.421,NA
11,76.1889,12,HAC,8,b,6,Leaf3,10.5,3.421,NA
12,87.88,12,HAC,10,b,6,Leaf3,10.5,3.421,NA
13,82.2106,12,HAC,12,b,6,Leaf3,10.5,3.421,NA
14,69.4132,12,HAC,14,b,6,Leaf3,10.5,3.421,NA
15,48.6306,12,HAC,16,b,6,Leaf3,10.5,3.421,NA
16,45.4499,12,HAC,18,b,6,Leaf3,10.5,3.421,NA
17,30.6081,12,HAC,20,b,6,Leaf3,10.5,3.421,NA
18,25.468,12,HAC,22,b,6,Leaf3,10.5,3.421,NA
19,17.1236,12,HAC,24,b,6,Leaf3,10.5,3.421,NA
20,13.0267,12,HAC,26,b,6,Leaf3,10.5,3.421,NA
21,12.7427,12,HAC,28,b,6,Leaf3,10.5,3.421,NA
22,7.98768,12,HAC,30,b,6,Leaf3,10.5,3.421,NA
23,8.06808,12,HAC,32,b,6,Leaf3,10.5,3.421,NA
24,4.7309,12,HAC,34,b,6,Leaf3,10.5,3.421,NA
25,4.73912,12,HAC,36,b,6,Leaf3,10.5,3.421,NA
26,4.55423,12,HAC,38,b,6,Leaf3,10.5,3.421,NA
27,3.56641,12,HAC,40,b,6,Leaf3,10.5,3.421,NA
28,3.76227,12,HAC,42,b,6,Leaf3,10.5,3.421,NA
29,2.6491,12,HAC,44,b,6,Leaf3,10.5,3.421,NA
30,2.63803,12,HAC,46,b,6,Leaf3,10.5,3.421,NA
31,2.15603,12,HAC,48,b,6,Leaf3,10.5,3.421,NA
32,3.03781,12,HAC,50,b,6,Leaf3,10.5,3.421,NA
33,1.44576,12,hexa,-12,b,6,Leaf3,10.5,3.421,NA
34,3.40552,12,hexa,-10,b,6,Leaf3,10.5,3.421,NA
35,2.12655,12,hexa,-8,b,6,Leaf3,10.5,3.421,NA
36,3.25896,12,hexa,-6,b,6,Leaf3,10.5,3.421,NA
37,0.181249,12,hexa,-4,b,6,Leaf3,10.5,3.421,NA
38,3.58521,12,hexa,-2,b,6,Leaf3,10.5,3.421,NA
39,0.249299,12,hexa,0,b,6,Leaf3,10.5,3.421,NA
40,5285.82,12,hexa,2,b,6,Leaf3,10.5,3.421,NA
41,8010.15,12,hexa,4,b,6,Leaf3,10.5,3.421,NA
42,7003.01,12,hexa,6,b,6,Leaf3,10.5,3.421,NA
43,4500.59,12,hexa,8,b,6,Leaf3,10.5,3.421,NA
44,2991.35,12,hexa,10,b,6,Leaf3,10.5,3.421,NA
45,1727.56,12,hexa,12,b,6,Leaf3,10.5,3.421,NA
46,997.984,12,hexa,14,b,6,Leaf3,10.5,3.421,NA
47,552.566,12,hexa,16,b,6,Leaf3,10.5,3.421,NA
48,387.509,12,hexa,18,b,6,Leaf3,10.5,3.421,NA
49,238.04,12,hexa,20,b,6,Leaf3,10.5,3.421,NA
50,176.855,12,hexa,22,b,6,Leaf3,10.5,3.421,NA
51,141.415,12,hexa,24,b,6,Leaf3,10.5,3.421,NA
52,112.007,12,hexa,26,b,6,Leaf3,10.5,3.421,NA
53,107.356,12,hexa,28,b,6,Leaf3,10.5,3.421,NA
54,88.5389,12,hexa,30,b,6,Leaf3,10.5,3.421,NA
55,74.4209,12,hexa,32,b,6,Leaf3,10.5,3.421,NA
56,63.5468,12,hexa,34,b,6,Leaf3,10.5,3.421,NA
57,61.0407,12,hexa,36,b,6,Leaf3,10.5,3.421,NA
58,54.5343,12,hexa,38,b,6,Leaf3,10.5,3.421,NA
59,41.9543,12,hexa,40,b,6,Leaf3,10.5,3.421,NA
60,38.9366,12,hexa,42,b,6,Leaf3,10.5,3.421,NA
61,34.1132,12,hexa,44,b,6,Leaf3,10.5,3.421,NA
62,35.5026,12,hexa,46,b,6,Leaf3,10.5,3.421,NA
63,29.0672,12,hexa,48,b,6,Leaf3,10.5,3.421,NA
64,29.8557,12,hexa,50,b,6,Leaf3,10.5,3.421,NA
65,5.13008,12,hexo,-12,b,6,Leaf3,10.5,3.421,NA
66,5.68737,12,hexo,-10,b,6,Leaf3,10.5,3.421,NA
67,5.18267,12,hexo,-8,b,6,Leaf3,10.5,3.421,NA
68,7.09496,12,hexo,-6,b,6,Leaf3,10.5,3.421,NA
69,4.51825,12,hexo,-4,b,6,Leaf3,10.5,3.421,NA
70,6.2409,12,hexo,-2,b,6,Leaf3,10.5,3.421,NA
71,6.31164,12,hexo,0,b,6,Leaf3,10.5,3.421,NA
72,39.3316,12,hexo,2,b,6,Leaf3,10.5,3.421,NA
73,78.0084,12,hexo,4,b,6,Leaf3,10.5,3.421,NA
74,106.234,12,hexo,6,b,6,Leaf3,10.5,3.421,NA
75,94.2973,12,hexo,8,b,6,Leaf3,10.5,3.421,NA
76,84.1322,12,hexo,10,b,6,Leaf3,10.5,3.421,NA
77,65.4674,12,hexo,12,b,6,Leaf3,10.5,3.421,NA
78,49.5167,12,hexo,14,b,6,Leaf3,10.5,3.421,NA
79,35.748,12,hexo,16,b,6,Leaf3,10.5,3.421,NA
80,30.8683,12,hexo,18,b,6,Leaf3,10.5,3.421,NA
81,24.9797,12,hexo,20,b,6,Leaf3,10.5,3.421,NA
82,19.3961,12,hexo,22,b,6,Leaf3,10.5,3.421,NA
83,14.8472,12,hexo,24,b,6,Leaf3,10.5,3.421,NA
84,15.0819,12,hexo,26,b,6,Leaf3,10.5,3.421,NA
85,15.8638,12,hexo,28,b,6,Leaf3,10.5,3.421,NA
86,11.0201,12,hexo,30,b,6,Leaf3,10.5,3.421,NA
87,11.2624,12,hexo,32,b,6,Leaf3,10.5,3.421,NA
88,10.62,12,hexo,34,b,6,Leaf3,10.5,3.421,NA
89,9.76101,12,hexo,36,b,6,Leaf3,10.5,3.421,NA
90,9.72237,12,hexo,38,b,6,Leaf3,10.5,3.421,NA
91,8.61967,12,hexo,40,b,6,Leaf3,10.5,3.421,NA
92,8.1498,12,hexo,42,b,6,Leaf3,10.5,3.421,NA
93,7.39053,12,hexo,44,b,6,Leaf3,10.5,3.421,NA
94,8.54388,12,hexo,46,b,6,Leaf3,10.5,3.421,NA
95,7.04072,12,hexo,48,b,6,Leaf3,10.5,3.421,NA
96,7.14136,12,hexo,50,b,6,Leaf3,10.5,3.421,NA
97,1.78249,13,HAC,-12,b,6,Leaf3,10.5,3.23,NA
98,1.32777,13,HAC,-10,b,6,Leaf3,10.5,3.23,NA
99,1.46101,13,HAC,-8,b,6,Leaf3,10.5,3.23,NA
100,0.701774,13,HAC,-6,b,6,Leaf3,10.5,3.23,NA
101,1.53813,13,HAC,-4,b,6,Leaf3,10.5,3.23,NA
102,0.704332,13,HAC,-2,b,6,Leaf3,10.5,3.23,NA
103,2.04175,13,HAC,0,b,6,Leaf3,10.5,3.23,NA
104,6.05065,13,HAC,2,b,6,Leaf3,10.5,3.23,NA
105,22.1901,13,HAC,4,b,6,Leaf3,10.5,3.23,NA
106,37.5372,13,HAC,6,b,6,Leaf3,10.5,3.23,NA
107,43.7266,13,HAC,8,b,6,Leaf3,10.5,3.23,NA
108,55.279,13,HAC,10,b,6,Leaf3,10.5,3.23,NA
109,54.7863,13,HAC,12,b,6,Leaf3,10.5,3.23,NA
110,46.0284,13,HAC,14,b,6,Leaf3,10.5,3.23,NA
111,37.518,13,HAC,16,b,6,Leaf3,10.5,3.23,NA
112,37.6113,13,HAC,18,b,6,Leaf3,10.5,3.23,NA
113,28.9353,13,HAC,20,b,6,Leaf3,10.5,3.23,NA
114,22.206,13,HAC,22,b,6,Leaf3,10.5,3.23,NA
115,17.0224,13,HAC,24,b,6,Leaf3,10.5,3.23,NA
116,13.3183,13,HAC,26,b,6,Leaf3,10.5,3.23,NA
117,14.736,13,HAC,28,b,6,Leaf3,10.5,3.23,NA
118,10.8311,13,HAC,30,b,6,Leaf3,10.5,3.23,NA
119,8.30959,13,HAC,32,b,6,Leaf3,10.5,3.23,NA
120,6.36925,13,HAC,34,b,6,Leaf3,10.5,3.23,NA
121,7.63889,13,HAC,36,b,6,Leaf3,10.5,3.23,NA
122,5.44131,13,HAC,38,b,6,Leaf3,10.5,3.23,NA
123,4.73785,13,HAC,40,b,6,Leaf3,10.5,3.23,NA
124,3.09474,13,HAC,42,b,6,Leaf3,10.5,3.23,NA
125,4.12284,13,HAC,44,b,6,Leaf3,10.5,3.23,NA
126,2.71503,13,HAC,46,b,6,Leaf3,10.5,3.23,NA
127,3.02548,13,HAC,48,b,6,Leaf3,10.5,3.23,NA
128,3.81613,13,HAC,50,b,6,Leaf3,10.5,3.23,NA
129,3.53215,13,hexa,-12,b,6,Leaf3,10.5,3.23,NA
130,3.34208,13,hexa,-10,b,6,Leaf3,10.5,3.23,NA
131,2.12828,13,hexa,-8,b,6,Leaf3,10.5,3.23,NA
132,0.829233,13,hexa,-6,b,6,Leaf3,10.5,3.23,NA
133,3.30802,13,hexa,-4,b,6,Leaf3,10.5,3.23,NA
134,2.7498,13,hexa,-2,b,6,Leaf3,10.5,3.23,NA
135,2.14957,13,hexa,0,b,6,Leaf3,10.5,3.23,NA
136,5815.66,13,hexa,2,b,6,Leaf3,10.5,3.23,NA
137,6759.96,13,hexa,4,b,6,Leaf3,10.5,3.23,NA
138,5222.55,13,hexa,6,b,6,Leaf3,10.5,3.23,NA
139,3256.29,13,hexa,8,b,6,Leaf3,10.5,3.23,NA
140,2151.92,13,hexa,10,b,6,Leaf3,10.5,3.23,NA
141,1282.01,13,hexa,12,b,6,Leaf3,10.5,3.23,NA
142,741.438,13,hexa,14,b,6,Leaf3,10.5,3.23,NA
143,441.498,13,hexa,16,b,6,Leaf3,10.5,3.23,NA
144,322.507,13,hexa,18,b,6,Leaf3,10.5,3.23,NA
145,217.165,13,hexa,20,b,6,Leaf3,10.5,3.23,NA
146,166.479,13,hexa,22,b,6,Leaf3,10.5,3.23,NA
147,130.354,13,hexa,24,b,6,Leaf3,10.5,3.23,NA
