,Emission,Channel_number,comp,time,Type,intensity1,position,d1_time,Totalbio,Leaf3
1,0.534891,54,DMNT,-1,a,NA,Wholeplant,NA,54,54
2,0.280396,54,DMNT,-0.5,a,NA,Wholeplant,NA,54,54
3,0.948919,54,DMNT,0,a,NA,Wholeplant,NA,54,54
4,0.399478,54,DMNT,0.5,a,NA,Wholeplant,NA,54,54
5,0.237448,54,DMNT,1,a,NA,Wholeplant,NA,54,54
6,2.96672,54,DMNT,1.5,a,NA,Wholeplant,NA,54,54
7,2.32679,54,DMNT,2,a,NA,Wholeplant,NA,54,54
8,3.60324,54,DMNT,2.5,a,NA,Wholeplant,NA,54,54
9,1.00E-08,54,DMNT,3,a,NA,Wholeplant,NA,54,54
10,2.84795,54,DMNT,4,a,NA,Wholeplant,NA,54,54
11,3.50328,54,DMNT,4.5,a,NA,Wholeplant,NA,54,54
12,3.13259,54,DMNT,5,a,NA,Wholeplant,NA,54,54
13,1.38802,54,DMNT,5.5,a,NA,Wholeplant,NA,54,54
14,0.562665,54,DMNT,6,a,NA,Wholeplant,NA,54,54
15,1.99851,54,DMNT,6.5,a,NA,Wholeplant,NA,54,54
16,1.95315,54,DMNT,7,a,NA,Wholeplant,NA,54,54
17,0.502907,54,DMNT,7.5,a,NA,Wholeplant,NA,54,54
18,2.87352,54,DMNT,8,a,NA,Wholeplant,NA,54,54
19,0.836579,54,DMNT,8.5,a,NA,Wholeplant,NA,54,54
20,1.84745,54,DMNT,9,a,NA,Wholeplant,NA,54,54
21,1.00E-08,54,DMNT,9.5,a,NA,Wholeplant,NA,54,54
22,0.744145,54,DMNT,10,a,NA,Wholeplant,NA,54,54
23,0.532312,54,DMNT,10.5,a,NA,Wholeplant,NA,54,54
24,0.821936,54,DMNT,11,a,NA,Wholeplant,NA,54,54
25,0.127195,54,DMNT,11.5,a,NA,Wholeplant,NA,54,54
26,0.621653,54,DMNT,12,a,NA,Wholeplant,NA,54,54
27,0.666204,54,DMNT,12.5,a,NA,Wholeplant,NA,54,54
28,0.893984,54,DMNT,13,a,NA,Wholeplant,NA,54,54
29,0.850181,54,DMNT,13.5,a,NA,Wholeplant,NA,54,54
30,1.2667,54,DMNT,14,a,NA,Wholeplant,NA,54,54
31,1.16395,54,DMNT,14.5,a,NA,Wholeplant,NA,54,54
32,0.858278,54,DMNT,15,a,NA,Wholeplant,NA,54,54
33,0.449506,54,DMNT,15.5,a,NA,Wholeplant,NA,54,54
34,0.461889,54,DMNT,16,a,NA,Wholeplant,NA,54,54
35,1.21626,54,DMNT,16.5,a,NA,Wholeplant,NA,54,54
36,1.00E-08,54,DMNT,17,a,NA,Wholeplant,NA,54,54
37,0.376675,54,DMNT,17.5,a,NA,Wholeplant,NA,54,54
38,1.03869,54,DMNT,18,a,NA,Wholeplant,NA,54,54
39,0.607364,54,DMNT,18.5,a,NA,Wholeplant,NA,54,54
40,1.00E-08,54,DMNT,19,a,NA,Wholeplant,NA,54,54
41,0.81801,54,DMNT,19.5,a,NA,Wholeplant,NA,54,54
42,0.891064,54,DMNT,20,a,NA,Wholeplant,NA,54,54
43,0.567422,54,DMNT,20.5,a,NA,Wholeplant,NA,54,54
44,1.09251,54,DMNT,21,a,NA,Wholeplant,NA,54,54
45,1.00E-08,54,TMTT,-1,a,NA,Wholeplant,NA,54,54
46,1.24503,54,TMTT,-0.5,a,NA,Wholeplant,NA,54,54
47,1.00E-08,54,TMTT,0,a,NA,Wholeplant,NA,54,54
48,1.45235,54,TMTT,0.5,a,NA,Wholeplant,NA,54,54
49,1.00E-08,54,TMTT,1,a,NA,Wholeplant,NA,54,54
50,0.544633,54,TMTT,1.5,a,NA,Wholeplant,NA,54,54
