Channel_number,Emission,Type,time,comp,Totalbio,d1_time,intensity1,Leaf3
65,8.66435,l2,-0.666666667,DMNT,1,1,1,1
65,1.00E-08,l2,-0.5,DMNT,1,1,1,1
65,8.15502,l2,-0.333333333,DMNT,1,1,1,1
65,10.2873,l2,-0.166666667,DMNT,1,1,1,1
65,12.556,l2,0,DMNT,1,1,1,1
65,8.42105,l2,0.166666667,DMNT,1,1,1,1
65,8.33673,l2,0.333333333,DMNT,1,1,1,1
65,9.82248,l2,0.5,DMNT,1,1,1,1
65,13.8917,l2,0.666666667,DMNT,1,1,1,1
65,18.966,l2,0.833333333,DMNT,1,1,1,1
65,35.119,l2,1,DMNT,1,1,1,1
65,59.9381,l2,1.166666667,DMNT,1,1,1,1
65,130.839,l2,1.333333333,DMNT,1,1,1,1
65,280.068,l2,1.5,DMNT,1,1,1,1
65,438.216,l2,1.666666667,DMNT,1,1,1,1
65,676.669,l2,1.833333333,DMNT,1,1,1,1
65,861.871,l2,2,DMNT,1,1,1,1
65,1124.5,l2,2.166666667,DMNT,1,1,1,1
65,1290.1,l2,2.333333333,DMNT,1,1,1,1
65,1382.04,l2,2.5,DMNT,1,1,1,1
65,1257.77,l2,2.666666667,DMNT,1,1,1,1
65,1306.13,l2,2.833333333,DMNT,1,1,1,1
65,1142.23,l2,3,DMNT,1,1,1,1
65,1142.99,l2,3.166666667,DMNT,1,1,1,1
65,1041.64,l2,3.333333333,DMNT,1,1,1,1
65,965.801,l2,3.5,DMNT,1,1,1,1
65,906.269,l2,3.666666667,DMNT,1,1,1,1
65,799.55,l2,3.833333333,DMNT,1,1,1,1
65,811.857,l2,4,DMNT,1,1,1,1
65,731.273,l2,4.166666667,DMNT,1,1,1,1
65,713.007,l2,4.333333333,DMNT,1,1,1,1
65,627.1,l2,4.5,DMNT,1,1,1,1
65,611.561,l2,4.666666667,DMNT,1,1,1,1
65,555.78,l2,4.833333333,DMNT,1,1,1,1
65,524.345,l2,5,DMNT,1,1,1,1
65,480.891,l2,5.166666667,DMNT,1,1,1,1
65,443.791,l2,5.333333333,DMNT,1,1,1,1
65,395.071,l2,5.5,DMNT,1,1,1,1
65,368.182,l2,5.666666667,DMNT,1,1,1,1
65,339.165,l2,5.833333333,DMNT,1,1,1,1
65,316.35,l2,6,DMNT,1,1,1,1
65,283.42,l2,6.166666667,DMNT,1,1,1,1
65,264.726,l2,6.333333333,DMNT,1,1,1,1
65,240.588,l2,6.5,DMNT,1,1,1,1
65,226.127,l2,6.666666667,DMNT,1,1,1,1
65,231.219,l2,6.833333333,DMNT,1,1,1,1
65,212.305,l2,7,DMNT,1,1,1,1
65,183.029,l2,7.166666667,DMNT,1,1,1,1
65,168.382,l2,7.333333333,DMNT,1,1,1,1
65,177.147,l2,7.5,DMNT,1,1,1,1
65,174.14,l2,7.666666667,DMNT,1,1,1,1
65,152.402,l2,7.833333333,DMNT,1,1,1,1
65,136.901,l2,8,DMNT,1,1,1,1
65,131.107,l2,8.166666667,DMNT,1,1,1,1
65,116.705,l2,8.333333333,DMNT,1,1,1,1
65,112.49,l2,8.5,DMNT,1,1,1,1
65,102.998,l2,8.666666667,DMNT,1,1,1,1
65,103.818,l2,8.833333333,DMNT,1,1,1,1
65,96.1548,l2,9,DMNT,1,1,1,1
65,76.0925,l2,9.166666667,DMNT,1,1,1,1
66,5.06075,l3,-0.666666667,DMNT,1,1,1,1
66,6.77271,l3,-0.5,DMNT,1,1,1,1
66,6.34953,l3,-0.333333333,DMNT,1,1,1,1
66,11.048,l3,-0.166666667,DMNT,1,1,1,1
66,10.797,l3,0,DMNT,1,1,1,1
66,9.0623,l3,0.166666667,DMNT,1,1,1,1
66,12.1915,l3,0.333333333,DMNT,1,1,1,1
66,9.86877,l3,0.5,DMNT,1,1,1,1
66,5.65984,l3,0.666666667,DMNT,1,1,1,1
66,11.8032,l3,0.833333333,DMNT,1,1,1,1
66,18.3789,l3,1,DMNT,1,1,1,1
66,25.9429,l3,1.166666667,DMNT,1,1,1,1
66,61.9523,l3,1.333333333,DMNT,1,1,1,1
66,110.632,l3,1.5,DMNT,1,1,1,1
66,217.75,l3,1.666666667,DMNT,1,1,1,1
66,319.389,l3,1.833333333,DMNT,1,1,1,1
66,489.036,l3,2,DMNT,1,1,1,1
66,613.974,l3,2.166666667,DMNT,1,1,1,1
66,785.8,l3,2.333333333,DMNT,1,1,1,1
66,896.992,l3,2.5,DMNT,1,1,1,1
66,915.936,l3,2.666666667,DMNT,1,1,1,1
66,988.827,l3,2.833333333,DMNT,1,1,1,1
66,921.528,l3,3,DMNT,1,1,1,1
66,931.202,l3,3.166666667,DMNT,1,1,1,1
66,866.695,l3,3.333333333,DMNT,1,1,1,1
