,Emission,Channel_number,comp,time,Type,dt,intensity1,position,d1_time,Totalbio,Leaf3
242,1.05276,54,DMNT,-1,w,0,6,Leaf3,10.5,3.44,0.89
243,1.30896,54,DMNT,-0.5,w,0,6,Leaf3,10.5,3.44,0.89
244,1.01066,54,DMNT,0,w,0,6,Leaf3,10.5,3.44,0.89
245,0.820217,54,DMNT,0.5,w,0,6,Leaf3,10.5,3.44,0.89
246,0.392668,54,DMNT,1,w,0,6,Leaf3,10.5,3.44,0.89
247,2.41697,54,DMNT,1.5,w,0,6,Leaf3,10.5,3.44,0.89
248,15.4578,54,DMNT,2,w,0,6,Leaf3,10.5,3.44,0.89
249,32.2729,54,DMNT,2.5,w,0,6,Leaf3,10.5,3.44,0.89
250,45.3112,54,DMNT,3,w,0,6,Leaf3,10.5,3.44,0.89
251,51.9841,54,DMNT,3.5,w,0,6,Leaf3,10.5,3.44,0.89
252,52.5968,54,DMNT,4,w,0,6,Leaf3,10.5,3.44,0.89
253,43.6851,54,DMNT,4.5,w,0,6,Leaf3,10.5,3.44,0.89
254,46.2388,54,DMNT,5,w,0,6,Leaf3,10.5,3.44,0.89
255,48.1004,54,DMNT,5.5,w,0,6,Leaf3,10.5,3.44,0.89
256,40.716,54,DMNT,6,w,0,6,Leaf3,10.5,3.44,0.89
257,42.8938,54,DMNT,6.5,w,0,6,Leaf3,10.5,3.44,0.89
258,26.0571,54,DMNT,7,w,0,6,Leaf3,10.5,3.44,0.89
259,37.7166,54,DMNT,7.5,w,0,6,Leaf3,10.5,3.44,0.89
260,32.8345,54,DMNT,8,w,0,6,Leaf3,10.5,3.44,0.89
261,30.4904,54,DMNT,8.5,w,0,6,Leaf3,10.5,3.44,0.89
262,27.9938,54,DMNT,9,w,0,6,Leaf3,10.5,3.44,0.89
263,24.1516,54,DMNT,9.5,w,0,6,Leaf3,10.5,3.44,0.89
264,20.6629,54,DMNT,10,w,0,6,Leaf3,10.5,3.44,0.89
265,17.4317,54,DMNT,10.5,w,0,6,Leaf3,10.5,3.44,0.89
266,13.5093,54,DMNT,11,w,0,6,Leaf3,10.5,3.44,0.89
267,13.4864,54,DMNT,11.5,w,0,6,Leaf3,10.5,3.44,0.89
268,12.4288,54,DMNT,12,w,0,6,Leaf3,10.5,3.44,0.89
269,4.31197,54,DMNT,12.5,w,0,6,Leaf3,10.5,3.44,0.89
270,9.46923,54,DMNT,13,w,0,6,Leaf3,10.5,3.44,0.89
271,8.3353,54,DMNT,13.5,w,0,6,Leaf3,10.5,3.44,0.89
272,6.75845,54,DMNT,14,w,0,6,Leaf3,10.5,3.44,0.89
273,6.00076,54,DMNT,14.5,w,0,6,Leaf3,10.5,3.44,0.89
274,6.2368,54,DMNT,15,w,0,6,Leaf3,10.5,3.44,0.89
275,5.06938,54,DMNT,15.5,w,0,6,Leaf3,10.5,3.44,0.89
276,3.93105,54,DMNT,16,w,0,6,Leaf3,10.5,3.44,0.89
277,3.22839,54,DMNT,16.5,w,0,6,Leaf3,10.5,3.44,0.89
