,Emission,Channel_number,comp,time,Type,dt,intensity1,position,d1_time,Totalbio,Leaf3
1202,1.29083,60,DMNT,-1,wo,0,6,Leaf3,10.5,3.42,0.94
1203,1.19671,60,DMNT,-0.5,wo,0,6,Leaf3,10.5,3.42,0.94
1204,1.00E-08,60,DMNT,0,wo,0,6,Leaf3,10.5,3.42,0.94
1205,1.25886,60,DMNT,0.5,wo,0,6,Leaf3,10.5,3.42,0.94
1206,1.48768,60,DMNT,1,wo,0,6,Leaf3,10.5,3.42,0.94
1207,5.669,60,DMNT,1.5,wo,0,6,Leaf3,10.5,3.42,0.94
1208,19.6317,60,DMNT,2,wo,0,6,Leaf3,10.5,3.42,0.94
1209,33.1383,60,DMNT,2.5,wo,0,6,Leaf3,10.5,3.42,0.94
1210,37.7808,60,DMNT,3,wo,0,6,Leaf3,10.5,3.42,0.94
1211,36.222,60,DMNT,3.5,wo,0,6,Leaf3,10.5,3.42,0.94
1212,36.7367,60,DMNT,4,wo,0,6,Leaf3,10.5,3.42,0.94
1213,25.7605,60,DMNT,4.5,wo,0,6,Leaf3,10.5,3.42,0.94
1214,24.1921,60,DMNT,5,wo,0,6,Leaf3,10.5,3.42,0.94
1215,25.7723,60,DMNT,5.5,wo,0,6,Leaf3,10.5,3.42,0.94
1216,25.9954,60,DMNT,6,wo,0,6,Leaf3,10.5,3.42,0.94
1217,3.00968,60,DMNT,6.5,wo,0,6,Leaf3,10.5,3.42,0.94
1218,17.623,60,DMNT,7,wo,0,6,Leaf3,10.5,3.42,0.94
1219,15.7157,60,DMNT,7.5,wo,0,6,Leaf3,10.5,3.42,0.94
1220,15.5042,60,DMNT,8,wo,0,6,Leaf3,10.5,3.42,0.94
1221,5.4947,60,DMNT,8.5,wo,0,6,Leaf3,10.5,3.42,0.94
1222,13.4139,60,DMNT,9,wo,0,6,Leaf3,10.5,3.42,0.94
1223,1.00E-08,60,DMNT,9.5,wo,0,6,Leaf3,10.5,3.42,0.94
1224,1.81908,60,DMNT,10,wo,0,6,Leaf3,10.5,3.42,0.94
1225,0.220015,60,DMNT,10.5,wo,0,6,Leaf3,10.5,3.42,0.94
1226,9.43459,60,DMNT,11,wo,0,6,Leaf3,10.5,3.42,0.94
1227,3.75255,60,DMNT,11.5,wo,0,6,Leaf3,10.5,3.42,0.94
1228,7.90873,60,DMNT,12,wo,0,6,Leaf3,10.5,3.42,0.94
1229,7.53832,60,DMNT,12.5,wo,0,6,Leaf3,10.5,3.42,0.94
1230,0.0111175,60,DMNT,13,wo,0,6,Leaf3,10.5,3.42,0.94
1231,4.08418,60,DMNT,13.5,wo,0,6,Leaf3,10.5,3.42,0.94
1232,4.92467,60,DMNT,14,wo,0,6,Leaf3,10.5,3.42,0.94
1233,3.84619,60,DMNT,14.5,wo,0,6,Leaf3,10.5,3.42,0.94
1234,2.42523,60,DMNT,15,wo,0,6,Leaf3,10.5,3.42,0.94
1235,2.32472,60,DMNT,15.5,wo,0,6,Leaf3,10.5,3.42,0.94
1236,2.45937,60,DMNT,16,wo,0,6,Leaf3,10.5,3.42,0.94
1237,0.624643,60,DMNT,16.5,wo,0,6,Leaf3,10.5,3.42,0.94
1238,2.05386,60,DMNT,17,wo,0,6,Leaf3,10.5,3.42,0.94
1239,1.89554,60,DMNT,17.5,wo,0,6,Leaf3,10.5,3.42,0.94
1240,2.56003,60,DMNT,18,wo,0,6,Leaf3,10.5,3.42,0.94
1241,1.97608,60,DMNT,18.5,wo,0,6,Leaf3,10.5,3.42,0.94
1242,1.00E-08,60,DMNT,19,wo,0,6,Leaf3,10.5,3.42,0.94
1243,1.26173,60,DMNT,19.5,wo,0,6,Leaf3,10.5,3.42,0.94
1244,1.38864,60,DMNT,20,wo,0,6,Leaf3,10.5,3.42,0.94
1245,0.368681,60,DMNT,20.5,wo,0,6,Leaf3,10.5,3.42,0.94
1246,2.06051,60,DMNT,21,wo,0,6,Leaf3,10.5,3.42,0.94
1247,1.65611,60,DMNT,21.5,wo,0,6,Leaf3,10.5,3.42,0.94
1248,0.0653988,60,DMNT,22,wo,0,6,Leaf3,10.5,3.42,0.94
1250,1.00E-08,60,TMTT,-1,wo,0,6,Leaf3,10.5,3.42,0.94
1251,0.419631,60,TMTT,-0.5,wo,0,6,Leaf3,10.5,3.42,0.94
1252,0.388399,60,TMTT,0,wo,0,6,Leaf3,10.5,3.42,0.94
1253,1.00E-08,60,TMTT,0.5,wo,0,6,Leaf3,10.5,3.42,0.94
1254,0.485547,60,TMTT,1,wo,0,6,Leaf3,10.5,3.42,0.94
1255,0.603917,60,TMTT,1.5,wo,0,6,Leaf3,10.5,3.42,0.94
1256,0.977303,60,TMTT,2,wo,0,6,Leaf3,10.5,3.42,0.94
1257,0.283171,60,TMTT,2.5,wo,0,6,Leaf3,10.5,3.42,0.94
1258,1.00E-08,60,TMTT,3,wo,0,6,Leaf3,10.5,3.42,0.94
1259,1.06537,60,TMTT,3.5,wo,0,6,Leaf3,10.5,3.42,0.94
1260,0.251909,60,TMTT,4,wo,0,6,Leaf3,10.5,3.42,0.94
1261,1.6878,60,TMTT,4.5,wo,0,6,Leaf3,10.5,3.42,0.94
1262,2.39527,60,TMTT,5,wo,0,6,Leaf3,10.5,3.42,0.94
1263,2.90662,60,TMTT,5.5,wo,0,6,Leaf3,10.5,3.42,0.94
1264,2.93695,60,TMTT,6,wo,0,6,Leaf3,10.5,3.42,0.94
1265,2.4371,60,TMTT,6.5,wo,0,6,Leaf3,10.5,3.42,0.94
1266,2.8398,60,TMTT,7,wo,0,6,Leaf3,10.5,3.42,0.94
1267,2.61692,60,TMTT,7.5,wo,0,6,Leaf3,10.5,3.42,0.94
1268,3.7378,60,TMTT,8,wo,0,6,Leaf3,10.5,3.42,0.94
1269,2.63964,60,TMTT,8.5,wo,0,6,Leaf3,10.5,3.42,0.94
1270,3.56088,60,TMTT,9,wo,0,6,Leaf3,10.5,3.42,0.94
1271,3.25046,60,TMTT,9.5,wo,0,6,Leaf3,10.5,3.42,0.94
1272,1.00E-08,60,TMTT,10,wo,0,6,Leaf3,10.5,3.42,0.94
1273,1.11162,60,TMTT,10.5,wo,0,6,Leaf3,10.5,3.42,0.94
1274,2.33116,60,TMTT,11,wo,0,6,Leaf3,10.5,3.42,0.94
1275,1.62406,60,TMTT,11.5,wo,0,6,Leaf3,10.5,3.42,0.94
1276,2.62773,60,TMTT,12,wo,0,6,Leaf3,10.5,3.42,0.94
1277,3.68436,60,TMTT,12.5,wo,0,6,Leaf3,10.5,3.42,0.94
1278,2.79451,60,TMTT,13,wo,0,6,Leaf3,10.5,3.42,0.94
1279,2.28096,60,TMTT,13.5,wo,0,6,Leaf3,10.5,3.42,0.94
1280,3.41087,60,TMTT,14,wo,0,6,Leaf3,10.5,3.42,0.94
1281,2.65339,60,TMTT,14.5,wo,0,6,Leaf3,10.5,3.42,0.94
1282,1.00E-08,60,TMTT,15,wo,0,6,Leaf3,10.5,3.42,0.94
1283,2.20961,60,TMTT,15.5,wo,0,6,Leaf3,10.5,3.42,0.94
1284,2.40509,60,TMTT,16,wo,0,6,Leaf3,10.5,3.42,0.94
1285,2.02716,60,TMTT,16.5,wo,0,6,Leaf3,10.5,3.42,0.94
1286,2.61686,60,TMTT,17,wo,0,6,Leaf3,10.5,3.42,0.94
1287,0.395713,60,TMTT,17.5,wo,0,6,Leaf3,10.5,3.42,0.94
1288,1.69421,60,TMTT,18,wo,0,6,Leaf3,10.5,3.42,0.94
1289,1.91304,60,TMTT,18.5,wo,0,6,Leaf3,10.5,3.42,0.94
1290,1.8641,60,TMTT,19,wo,0,6,Leaf3,10.5,3.42,0.94
1291,1.45217,60,TMTT,19.5,wo,0,6,Leaf3,10.5,3.42,0.94
1292,0.683804,60,TMTT,20,wo,0,6,Leaf3,10.5,3.42,0.94
1293,1.14648,60,TMTT,20.5,wo,0,6,Leaf3,10.5,3.42,0.94
1294,1.51058,60,TMTT,21,wo,0,6,Leaf3,10.5,3.42,0.94
1295,0.828914,60,TMTT,21.5,wo,0,6,Leaf3,10.5,3.42,0.94
1296,0.948455,60,TMTT,22,wo,0,6,Leaf3,10.5,3.42,0.94
1298,5.02668,60,indole,-1,wo,0,6,Leaf3,10.5,3.42,0.94
1299,16.1599,60,indole,-0.5,wo,0,6,Leaf3,10.5,3.42,0.94
1300,22.8313,60,indole,0,wo,0,6,Leaf3,10.5,3.42,0.94
1301,22.1096,60,indole,0.5,wo,0,6,Leaf3,10.5,3.42,0.94
1302,26.3145,60,indole,1,wo,0,6,Leaf3,10.5,3.42,0.94
1303,45.9008,60,indole,1.5,wo,0,6,Leaf3,10.5,3.42,0.94
1304,59.9701,60,indole,2,wo,0,6,Leaf3,10.5,3.42,0.94
1305,71.8764,60,indole,2.5,wo,0,6,Leaf3,10.5,3.42,0.94
1306,62.1162,60,indole,3,wo,0,6,Leaf3,10.5,3.42,0.94
1307,45.3647,60,indole,3.5,wo,0,6,Leaf3,10.5,3.42,0.94
1308,48.6426,60,indole,4,wo,0,6,Leaf3,10.5,3.42,0.94
