,Emission,Channel_number,comp,time,Type,dt1,dt2,intensity1,intensity2,intensity3,position,d1_time,d2_time,d3_time,Totalbio,Leaf3
1,1.16624,5,DMNT,-1,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
2,0.918292,5,DMNT,-0.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
3,0.822096,5,DMNT,0,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
4,1.31721,5,DMNT,0.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
5,1.10327,5,DMNT,1,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
6,1.00E-08,5,DMNT,1.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
7,0.462919,5,DMNT,2,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
8,1.00E-08,5,DMNT,2.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
9,1.00E-08,5,DMNT,3,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
10,1.81754,5,DMNT,4,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
11,3.03694,5,DMNT,4.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
12,2.30793,5,DMNT,5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
13,0.732071,5,DMNT,6,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
14,2.55331,5,DMNT,6.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
15,1.34333,5,DMNT,7,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
16,1.00E-08,5,DMNT,7.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
17,1.5939,5,DMNT,8,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
18,0.0516459,5,DMNT,8.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
19,1.00E-08,5,DMNT,9,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
20,1.00E-08,5,DMNT,9.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
21,1.00E-08,5,DMNT,10,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
22,0.447339,5,DMNT,10.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
23,1.01719,5,DMNT,11,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
24,0.548468,5,DMNT,11.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
25,1.00E-08,5,DMNT,12,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
26,1.72433,5,DMNT,12.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
27,0.776811,5,DMNT,13,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
28,1.00E-08,5,DMNT,13.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
29,0.994292,5,DMNT,14,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
30,0.165443,5,DMNT,14.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
31,0.430452,5,DMNT,15,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
32,0.030093,5,DMNT,15.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
33,0.808472,5,DMNT,16,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
34,0.337061,5,DMNT,16.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
35,0.616921,5,DMNT,17,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
36,1.03424,5,DMNT,17.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
37,1.17497,5,DMNT,18,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
38,1.11773,5,DMNT,18.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
39,0.620771,5,DMNT,19,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
40,0.0485673,5,DMNT,19.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
41,0.727979,5,DMNT,20,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
42,1.00E-08,5,DMNT,20.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
43,0.568628,5,DMNT,21,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
44,1.23834,5,DMNT,21.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
45,1.03333,5,DMNT,22,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
46,0.882848,5,DMNT,22.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
47,0.781648,5,TMTT,-1,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
48,0.647813,5,TMTT,-0.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
49,0.388266,5,TMTT,0,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
50,0.613973,5,TMTT,0.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
51,1.00E-08,5,TMTT,1,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
52,1.00E-08,5,TMTT,1.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
53,0.490067,5,TMTT,2,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
54,1.00E-08,5,TMTT,2.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
55,0.444622,5,TMTT,3,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
56,0.450115,5,TMTT,4,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
57,1.00E-08,5,TMTT,4.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
58,0.902692,5,TMTT,5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
59,1.00E-08,5,TMTT,6,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
60,0.551366,5,TMTT,6.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
61,0.218767,5,TMTT,7,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
62,1.00E-08,5,TMTT,7.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
63,1.00E-08,5,TMTT,8,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
64,0.368118,5,TMTT,8.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
65,0.0373386,5,TMTT,9,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
66,0.967667,5,TMTT,9.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
67,1.00E-08,5,TMTT,10,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
68,1.00E-08,5,TMTT,10.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
69,0.729467,5,TMTT,11,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
70,1.00E-08,5,TMTT,11.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
71,1.00E-08,5,TMTT,12,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
72,0.0640347,5,TMTT,12.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
73,0.647374,5,TMTT,13,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
74,1.00E-08,5,TMTT,13.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
75,0.669675,5,TMTT,14,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
76,1.00E-08,5,TMTT,14.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
77,1.00E-08,5,TMTT,15,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
78,1.00E-08,5,TMTT,15.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
79,0.283806,5,TMTT,16,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
80,1.00E-08,5,TMTT,16.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
81,0.660028,5,TMTT,17,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
82,0.2001,5,TMTT,17.5,a,NA,NA,0,0,0,Leaf3,NA,NA,NA,2.41,0.75
